Lake,Year,Air Temperature,Evaporation,Precipitation,Area,Barren Area,Snow and Ice,Urban Area,Vegetation Area
205,2001,,,1.637122537,693801469.8,32310735.91,0,1172211.125,858733483.1
205,2002,,,1.204741379,845709644.2,17333373.13,0,1172211.125,909325002.3
205,2003,,,1.680405252,659784682,18739689.86,0,1172211.125,931565273.2
205,2004,,,1.255961035,828802279.9,18271450.47,0,1172211.125,952772535
205,2005,,,1.631018897,778070908.3,17333366.89,0,1172211.125,965644556.9
205,2006,,,1.668961423,789079433.4,16397611.22,0,1172211.125,952760647.5
205,2007,,,1.572253186,769315801.1,14289087.3,0,1172211.125,962356419.6
205,2008,,,1.512024035,822526542.8,11711891.59,0,1172211.125,962118126.3
205,2009,,,1.445356972,775393027.6,12181031.31,0,1172211.125,952045338.3
205,2010,,,1.338887345,807262983.7,12649192.5,0,1172211.125,935182267.5
205,2011,,,1.284829388,705857622,11477230.8,0,1172211.125,928629730.6
205,2012,,,1.37439696,647022430.9,10306020.94,0,1172211.125,941978621.5
205,2013,,,1.533150895,784871760.2,9837583.922,0,1172211.125,924207559.2
205,2014,,,1.551264138,810589542,9134274.359,0,1172211.125,917157957.7
205,2015,,,1.092433914,795442845.2,7727853.125,0,1172211.125,932138026.2
205,2016,,,1.355223592,773935882.3,7962252.938,0,1172211.125,933311570.4
205,2017,,,1.482115323,846108297.6,7962456.953,0,1172211.125,929799879.9
205,2018,,,1.665530968,841861941.4,7259664.688,0,1172211.125,908988303.9
205,2019,,,1.457325603,839116041.8,7025232.563,0,1172211.125,897215361.3
205,2020,,,1.482152789,823910736.5,7493260.828,0,1172211.125,887143934.7
205,2021,,,1.395927214,806836298.8,7024638.859,0,1172211.125,884096932.5
273,2001,265.6613231,-0.139798427,0.09545268,189281565.4,999703999.4,207444.3281,0,24626528.71
273,2002,263.7779801,-0.171524933,0.083588658,216410489.1,995284867.1,0,0,21998012.81
273,2003,264.3176452,-0.096700819,0.109037575,239942473.7,998334200.6,0,0,17495989.81
273,2004,265.1225612,-0.105451592,0.081870951,230379244.3,1002153901,0,0,12432851.58
273,2005,264.156303,-0.095799054,0.104475576,226806315.2,1002957433,24341.1489,0,11398204.78
273,2006,264.3432921,-0.227434717,0.101182721,171034022.8,1003189207,0,0,11191230.44
273,2007,265.8380335,-0.163247728,0.100916276,239229385.1,1002776517,0,0,12227086.39
273,2008,264.7606044,-0.195547637,0.097558028,300376737.5,1004228373,0,0,11398076.88
273,2009,263.7162994,-0.098359175,0.17109647,301552721.4,1003831454,190800.5463,0,10982781.05
273,2010,264.2224238,-0.175854033,0.157318713,284897561.3,1001740374,0,0,11397906.36
273,2011,264.9152598,-0.138285026,0.160716714,279346745.3,1001739348,0,0,11605436.36
273,2012,264.1838155,-0.117062405,0.190229472,240737230.4,1001532951,0,0,12848480.2
273,2013,264.6998074,-0.133531728,0.129802051,302795177.4,1003190775,0,0,13470248.39
273,2014,264.1938189,-0.111413358,0.162851278,294285050.1,1002154267,0,0,13885126.88
273,2015,264.0306818,-0.18710231,0.172905263,302994457.8,1002186732,381620.7911,0,14507600.59
273,2016,266.5696913,-0.137136177,0.121486137,297102745.3,1003811803,0,0,15337079.72
273,2017,265.5718698,-0.16116508,0.148702729,244264499.8,1005471347,0,0,15129346.58
273,2018,264.9286614,-0.191386134,0.116696533,262525578.8,1004495187,147259.9031,0,15335347.95
273,2019,264.3226923,-0.167375613,0.173540096,298011380.7,1006087582,5684.007292,0,15127860.59
273,2020,265.4263183,-0.107162219,0.141668297,103259513.3,1006300274,0,0,14298595.11
273,2021,264.4618626,-0.134993271,0.123207664,210117368.2,1005886741,0,0,13261874.09
311,2001,298.5849943,-0.082522206,0.738604125,198908401,44213525.49,0,3433146.98,1824637196
311,2002,299.1831983,-0.089453181,0.519312938,165897172.9,46480852.47,0,3433146.98,1850233256
311,2003,298.8193738,-0.086585696,0.738058598,223760038.5,36287287.42,0,3433146.98,1857706838
